pokemonId;hasItem;hasHiddenAbility;hasEggMove;hasPokerus;hasPerfectIV;isShiny;level;date;time;userId;liked;trainerId
137;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;52416;1503;;58
129;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;10;2015-02-08;35157;807;dislike;58
285;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;51810;1503;;59
198;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;51711;1503;;59
669;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;13;2015-02-08;59494;1503;;60
261;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;52590;1615;dislike;61
632;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;44;2015-02-08;35068;807;like;61
304;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;10;2015-02-08;52140;1503;;62
265;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;58656;1503;;63
607;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;54291;1503;;63
554;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;1;2015-02-08;52872;1615;;64
283;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;14;2015-02-08;51943;1503;;64
270;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;57925;1503;;65
370;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;15;2015-02-08;53333;1615;dislike;65
177;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;24335;1503;;65
628;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;45;2015-02-08;57122;1616;;66
361;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;21847;1503;like;67
325;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;20;2015-02-08;19709;1503;;67
94;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;31;2015-02-08;52774;1503;;68
280;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;22;2015-02-08;34969;807;dislike;69
76;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;25;2015-02-08;53453;1503;;70
561;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;20;2015-02-08;35260;807;like;70
707;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;79943;841;dislike;71
328;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;57991;1503;;71
265;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;57786;1503;;71
81;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;53340;1503;;71
370;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;35;2015-02-08;52274;1278;dislike;71
